Reference,Light S.,Temperature (K),Pressure (bar),Phase,Molar Feed Ratio,Additive,Amount of additive (mol/L),Semicon.Prep,Cocat.Prep,CalcTemp (K),"Co-catalyst 1 Loading, wt%",Co-catalyst 1,"Co-catalyst 2 Loading, wt%",Co-catalyst 2,Dopant1/Semiconductor1 Ratio,Dop1,Dopant2/Semiconductor1 Ratio,Dop2,Semiconductor1/Semiconductor2 Ratio,Semiconductor 1,Semiconductor 2,Band Gap Energy (eV),Total Gas Yield (µmol/gcat/h)
"E. Liu, L. Kang, F. Wu, T. Sun, X. Hu, Y. Yang, H. Liu, J. Fan, Photocatalytic Reduction of CO2 into Methanol over Ag/TiO2 Noocomposites Enhanced by Surface Plasmon ResoNoce, Plasmonics. 9 (2014) 61–70. https://doi.org/10.1007/s11468-013-9598-7.",UV ,313,1,Liquid,No,No,0,Chemical reduction,Chemical reduction,298,2.5,Ag,0,No,0,No,0,No,100,TiO2,No,,51.16
"E. Liu, L. Kang, F. Wu, T. Sun, X. Hu, Y. Yang, H. Liu, J. Fan, Photocatalytic Reduction of CO2 into Methanol over Ag/TiO2 Noocomposites Enhanced by Surface Plasmon ResoNoce, Plasmonics. 9 (2014) 61–70. https://doi.org/10.1007/s11468-013-9598-7.",Vis,298,1,Liquid,No,No,0,Chemical reduction,Chemical reduction,298,2.5,Ag,0,No,0,No,0,No,100,TiO2,No,,24.21
"J.C.S. Wu, T.H. Wu, T. Chu, H. Huang, D. Tsai, Application of optical-fiber photoreactor for CO2 photocatalytic reduction, Top. Catal. 47 (2008) 131–136. https://doi.org/10.1007/s11244-007-9022-7.",UV ,348,1.16,Gas,40,No,0,Thermal methods,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,3.6,0.5
"J.C.S. Wu, T.H. Wu, T. Chu, H. Huang, D. Tsai, Application of optical-fiber photoreactor for CO2 photocatalytic reduction, Top. Catal. 47 (2008) 131–136. https://doi.org/10.1007/s11244-007-9022-7.",UV ,348,1,Gas,40,No,0,Thermal methods,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,3.6,1.8
"J.C.S. Wu, T.H. Wu, T. Chu, H. Huang, D. Tsai, Application of optical-fiber photoreactor for CO2 photocatalytic reduction, Top. Catal. 47 (2008) 131–136. https://doi.org/10.1007/s11244-007-9022-7.",UV ,348,1,Gas,40,No,0,Thermal methods,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,3.6,2.3
"J.C.S. Wu, T.H. Wu, T. Chu, H. Huang, D. Tsai, Application of optical-fiber photoreactor for CO2 photocatalytic reduction, Top. Catal. 47 (2008) 131–136. https://doi.org/10.1007/s11244-007-9022-7.",UV ,348,1,Gas,40,No,0,Thermal methods,Thermal methods,298,1.2,Cu,0,No,0,No,0,No,100,TiO2,No,3.6,0.8
"J.C.S. Wu, T.H. Wu, T. Chu, H. Huang, D. Tsai, Application of optical-fiber photoreactor for CO2 photocatalytic reduction, Top. Catal. 47 (2008) 131–136. https://doi.org/10.1007/s11244-007-9022-7.",UV ,348,1,Gas,40,No,0,Thermal methods,Thermal methods,298,1.2,Cu,0,No,0,No,0,No,100,TiO2,No,3.6,2.5
"J.C.S. Wu, T.H. Wu, T. Chu, H. Huang, D. Tsai, Application of optical-fiber photoreactor for CO2 photocatalytic reduction, Top. Catal. 47 (2008) 131–136. https://doi.org/10.1007/s11244-007-9022-7.",UV ,348,1,Gas,40,No,0,Thermal methods,Thermal methods,298,1.2,Cu,0,No,0,No,0,No,100,TiO2,No,3.6,3.64
"J.C.S. Wu, T.H. Wu, T. Chu, H. Huang, D. Tsai, Application of optical-fiber photoreactor for CO2 photocatalytic reduction, Top. Catal. 47 (2008) 131–136. https://doi.org/10.1007/s11244-007-9022-7.",UV ,348,1,Gas,40,No,0,Thermal methods,Thermal methods,298,1,Ag,0,No,0,No,0,No,100,TiO2,No,3.5,0.5
"J.C.S. Wu, T.H. Wu, T. Chu, H. Huang, D. Tsai, Application of optical-fiber photoreactor for CO2 photocatalytic reduction, Top. Catal. 47 (2008) 131–136. https://doi.org/10.1007/s11244-007-9022-7.",UV ,348,1,Gas,40,No,0,Thermal methods,Thermal methods,298,1,Ag,0,No,0,No,0,No,100,TiO2,No,3.5,1.8
"J.C.S. Wu, T.H. Wu, T. Chu, H. Huang, D. Tsai, Application of optical-fiber photoreactor for CO2 photocatalytic reduction, Top. Catal. 47 (2008) 131–136. https://doi.org/10.1007/s11244-007-9022-7.",UV ,348,1,Gas,40,No,0,Thermal methods,Thermal methods,298,1,Ag,0,No,0,No,0,No,100,TiO2,No,3.5,4
"W. Hou, W.H. Hung, P. Pavaskar, A. Goeppert, M. Aykol, S.B. Cronin, Photocatalytic conversion of CO2 to hydrocarbon fuels via plasmon-enhanced absorption and metallic interband transitions, ACS Catal. 1 (2011) 929–936. https://doi.org/10.1021/cs2001434.",UVVis,348,1,Gas,42,No,0,Sol gel,Sol-gel,298,1,Au,0,No,0,No,0,No,100,TiO2,No,,0.02
"M. Bellardita, A. Di Paola, E. García-López, V. Loddo, G. Marcì, L. Palmisano, Photocatalytic CO2 Reduction in Gas-Solid Regime in the Presence of Bare, SiO2 Supported or Cu-Loaded TiO2 Samples, Curr. Org. Chem. 17 (2013) 2440–2448.https://doi.org/10.2174/13852728113179990057.",UV ,298,1,Gas,42,No,0,Thermal methods,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,3.24,0.1
"M. Bellardita, A. Di Paola, E. García-López, V. Loddo, G. Marcì, L. Palmisano, Photocatalytic CO2 Reduction in Gas-Solid Regime in the Presence of Bare, SiO2 Supported or Cu-Loaded TiO2 Samples, Curr. Org. Chem. 17 (2013) 2440–2448.https://doi.org/10.2174/13852728113179990057.",UV ,298,1,Gas,42,No,0,Thermal methods,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,3.13,0.03
"M. Bellardita, A. Di Paola, E. García-López, V. Loddo, G. Marcì, L. Palmisano, Photocatalytic CO2 Reduction in Gas-Solid Regime in the Presence of Bare, SiO2 Supported or Cu-Loaded TiO2 Samples, Curr. Org. Chem. 17 (2013) 2440–2448.https://doi.org/10.2174/13852728113179990057.",UV ,298,1,Gas,42,No,0,Thermal methods,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,3.24,0.04
"M. Bellardita, A. Di Paola, E. García-López, V. Loddo, G. Marcì, L. Palmisano, Photocatalytic CO2 Reduction in Gas-Solid Regime in the Presence of Bare, SiO2 Supported or Cu-Loaded TiO2 Samples, Curr. Org. Chem. 17 (2013) 2440–2448.https://doi.org/10.2174/13852728113179990057.",UV ,298,1,Gas,42,No,0,Thermal methods,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,3.25,0.07
"M. Bellardita, A. Di Paola, E. García-López, V. Loddo, G. Marcì, L. Palmisano, Photocatalytic CO2 Reduction in Gas-Solid Regime in the Presence of Bare, SiO2 Supported or Cu-Loaded TiO2 Samples, Curr. Org. Chem. 17 (2013) 2440–2448.https://doi.org/10.2174/13852728113179990057.",UV ,298,1,Gas,42,No,0,Thermal methods,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,3.02,0.17
"M. Bellardita, A. Di Paola, E. García-López, V. Loddo, G. Marcì, L. Palmisano, Photocatalytic CO2 Reduction in Gas-Solid Regime in the Presence of Bare, SiO2 Supported or Cu-Loaded TiO2 Samples, Curr. Org. Chem. 17 (2013) 2440–2448.https://doi.org/10.2174/13852728113179990057.",UV ,298,1,Gas,42,No,0,Thermal methods,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,3.26,0.07
"M. Bellardita, A. Di Paola, E. García-López, V. Loddo, G. Marcì, L. Palmisano, Photocatalytic CO2 Reduction in Gas-Solid Regime in the Presence of Bare, SiO2 Supported or Cu-Loaded TiO2 Samples, Curr. Org. Chem. 17 (2013) 2440–2448.https://doi.org/10.2174/13852728113179990057.",UV ,298,1,Gas,42,No,0,Thermal methods,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,3,0.06
"M. Bellardita, A. Di Paola, E. García-López, V. Loddo, G. Marcì, L. Palmisano, Photocatalytic CO2 Reduction in Gas-Solid Regime in the Presence of Bare, SiO2 Supported or Cu-Loaded TiO2 Samples, Curr. Org. Chem. 17 (2013) 2440–2448.https://doi.org/10.2174/13852728113179990057.",UV ,298,1,Gas,42,No,0,Thermal methods,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,3.24,0.02
"M. Bellardita, A. Di Paola, E. García-López, V. Loddo, G. Marcì, L. Palmisano, Photocatalytic CO2 Reduction in Gas-Solid Regime in the Presence of Bare, SiO2 Supported or Cu-Loaded TiO2 Samples, Curr. Org. Chem. 17 (2013) 2440–2448.https://doi.org/10.2174/13852728113179990057.",UV ,298,1,Gas,42,No,0,Thermal methods,IW,298,1,Cu,0,No,0,No,0,No,100,TiO2,No,3.24,0.21
"M. Bellardita, A. Di Paola, E. García-López, V. Loddo, G. Marcì, L. Palmisano, Photocatalytic CO2 Reduction in Gas-Solid Regime in the Presence of Bare, SiO2 Supported or Cu-Loaded TiO2 Samples, Curr. Org. Chem. 17 (2013) 2440–2448.https://doi.org/10.2174/13852728113179990057.",UV ,298,1,Gas,42,No,0,NP,NP,298,2,Cu,0,No,0,No,0,No,100,TiO2,No,2.98,0.13
"M. Bellardita, A. Di Paola, E. García-López, V. Loddo, G. Marcì, L. Palmisano, Photocatalytic CO2 Reduction in Gas-Solid Regime in the Presence of Bare, SiO2 Supported or Cu-Loaded TiO2 Samples, Curr. Org. Chem. 17 (2013) 2440–2448.https://doi.org/10.2174/13852728113179990057.",UV ,298,1,Gas,42,No,0,Thermal methods,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,2.92,0.55
"K. Kočí, K. Matějů, L. Obalová, S. Krejčíková, Z. Lacný, D. Plachá, L. Čapek, A. Hospodková, O. Šolcová, Effect of silver doping on the TiO2 for photocatalytic reduction of CO2, Appl. Catal. B Environ. 96 (2010) 239–244. https://doi.org/10.1016/j.apcatb.2010.02.030.",UV ,298,1,Liquid,No,No,0,Sol gel,Sol gel,298,7,Ag,0,No,0,No,0,No,100,TiO2,No,2.97,0.2
"K. Kočí, K. Matějů, L. Obalová, S. Krejčíková, Z. Lacný, D. Plachá, L. Čapek, A. Hospodková, O. Šolcová, Effect of silver doping on the TiO2 for photocatalytic reduction of CO2, Appl. Catal. B Environ. 96 (2010) 239–244. https://doi.org/10.1016/j.apcatb.2010.02.030.",UV ,298,1,Liquid,No,No,0,Sol gel,Sol gel,298,5,Ag,0,No,0,No,0,No,100,TiO2,No,2.92,6.36
"K. Kočí, K. Matějů, L. Obalová, S. Krejčíková, Z. Lacný, D. Plachá, L. Čapek, A. Hospodková, O. Šolcová, Effect of silver doping on the TiO2 for photocatalytic reduction of CO2, Appl. Catal. B Environ. 96 (2010) 239–244. https://doi.org/10.1016/j.apcatb.2010.02.030.",UV ,298,1,Liquid,No,No,0,Sol gel,Sol gel,298,3,Ag,0,No,0,No,0,No,100,TiO2,No,3.24,5.84
"K. Kočí, K. Matějů, L. Obalová, S. Krejčíková, Z. Lacný, D. Plachá, L. Čapek, A. Hospodková, O. Šolcová, Effect of silver doping on the TiO2 for photocatalytic reduction of CO2, Appl. Catal. B Environ. 96 (2010) 239–244. https://doi.org/10.1016/j.apcatb.2010.02.030.",UV ,298,1,Liquid,No,No,0,Sol gel,Sol gel,298,1,Ag,0,No,0,No,0,No,100,TiO2,No,2.74,3.9
"K. Kočí, K. Matějů, L. Obalová, S. Krejčíková, Z. Lacný, D. Plachá, L. Čapek, A. Hospodková, O. Šolcová, Effect of silver doping on the TiO2 for photocatalytic reduction of CO2, Appl. Catal. B Environ. 96 (2010) 239–244. https://doi.org/10.1016/j.apcatb.2010.02.030.",UV ,298,1,Liquid,No,No,0,Sol gel,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,2.75,2.83
"H. Li, Y. Lei, Y. Huang, Y. Fang, Y. Xu, L. Zhu, X. Li, Photocatalytic reduction of carbon dioxide to methanol by Cu 2O/SiC Noocrystallite under visible light irradiation, J. Nat. Gas Chem. 20 (2011) 145–150. https://doi.org/10.1016/S1003-9953(10)60166-1.",Vis,298,1,Liquid,No,No,0,Chemical reduction,NP,298,0,No,0,No,0,No,0,No,100,SiC,No,2.84,136
"H. Li, Y. Lei, Y. Huang, Y. Fang, Y. Xu, L. Zhu, X. Li, Photocatalytic reduction of carbon dioxide to methanol by Cu 2O/SiC Noocrystallite under visible light irradiation, J. Nat. Gas Chem. 20 (2011) 145–150. https://doi.org/10.1016/S1003-9953(10)60166-1.",Vis,298,1,Liquid,No,No,0,Chemical reduction,NP,298,0,No,0,No,0,No,0,No,100,SiC,No,2.88,102
"J.S. Hwang, J.S. Chang, S.E. Park, K. Ikeue, M. Anpo, Photoreduction of carbondioxide on surface functionalized Nooporous catalysts, Top. Catal. 35 (2005) 311–319. https://doi.org/10.1007/s11244-005-3839-8.",UVVis,298,1,Gas,42,No,0,Hydrothermal,NP,298,0,No,0,No,0,No,0,No,41,TiO2,SiO2,2.98,7.57
"J.S. Hwang, J.S. Chang, S.E. Park, K. Ikeue, M. Anpo, Photoreduction of carbondioxide on surface functionalized Nooporous catalysts, Top. Catal. 35 (2005) 311–319. https://doi.org/10.1007/s11244-005-3839-8.",UVVis,298,1,Gas,42,No,0,Hydrothermal,NP,298,0,No,0,No,0,No,0,No,41,TiO2,SiO2,2.23,2.99
"J.S. Hwang, J.S. Chang, S.E. Park, K. Ikeue, M. Anpo, Photoreduction of carbondioxide on surface functionalized Nooporous catalysts, Top. Catal. 35 (2005) 311–319. https://doi.org/10.1007/s11244-005-3839-8.",UVVis,298,1,Gas,42,No,0,Hydrothermal,NP,298,0,No,0,No,0,No,0,No,41,TiO2,SiO2,3.02,1.06
"T. Yui, A. Kan, C. Saitoh, K. Koike, T. Ibusuki, O. Ishitani, Photochemical reduction of CO2 using TiO2: Effects of organic adsorbates on TiO2 and deposition of Pd onto TiO2, ACS Appl. Mater. Interfaces. 3 (2011) 2594–2600. https://doi.org/10.1021/am200425y.",Vis,278,1,Liquid,No,No,0,NP,Photodeposition,298,1,No,0,No,0,No,0,No,100,TiO2,No,,0.24
"T. Yui, A. Kan, C. Saitoh, K. Koike, T. Ibusuki, O. Ishitani, Photochemical reduction of CO2 using TiO2: Effects of organic adsorbates on TiO2 and deposition of Pd onto TiO2, ACS Appl. Mater. Interfaces. 3 (2011) 2594–2600. https://doi.org/10.1021/am200425y.",UV ,278,1,Liquid,No,No,0,NP,Photodeposition,298,0.5,Pd,0,No,0,No,0,No,100,TiO2,No,,0.55
"T. Yui, A. Kan, C. Saitoh, K. Koike, T. Ibusuki, O. Ishitani, Photochemical reduction of CO2 using TiO2: Effects of organic adsorbates on TiO2 and deposition of Pd onto TiO2, ACS Appl. Mater. Interfaces. 3 (2011) 2594–2600. https://doi.org/10.1021/am200425y.",UV ,278,1,Liquid,No,No,0,NP,Photodeposition,298,2,Pd,0,No,0,No,0,No,100,TiO2,No,,0.07
"T. Yui, A. Kan, C. Saitoh, K. Koike, T. Ibusuki, O. Ishitani, Photochemical reduction of CO2 using TiO2: Effects of organic adsorbates on TiO2 and deposition of Pd onto TiO2, ACS Appl. Mater. Interfaces. 3 (2011) 2594–2600. https://doi.org/10.1021/am200425y.",UV ,278,1,Liquid,No,No,0,NP,Photodeposition,298,2,Pd,0,No,0,No,0,No,100,TiO2,No,,0.46
"H.C. Hsu, I. Shown, H.Y. Wei, Y.C. Chang, H.Y. Du, Y.G. Lin, C.A. Tseng, C.H. Wang, L.C. Chen, Y.C. Lin, K.H. Chen, Graphene oxide as a promising photocatalyst for CO2 to methanol conversion, Nooscale. 5 (2013) 262–268. https://doi.org/10.1039/c2nr31718d.",Vis,298,1,Gas,42,No,0,Chemical reduction,NP,298,0,No,0,No,0,No,0,No,100,GO,No,3.7,0.15
"H.C. Hsu, I. Shown, H.Y. Wei, Y.C. Chang, H.Y. Du, Y.G. Lin, C.A. Tseng, C.H. Wang, L.C. Chen, Y.C. Lin, K.H. Chen, Graphene oxide as a promising photocatalyst for CO2 to methanol conversion, Nooscale. 5 (2013) 262–268. https://doi.org/10.1039/c2nr31718d.",Vis,298,1,Gas,42,No,0,Commercial,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,3.2,0.04
"K. Kočí, L. Obalová, L. Matějová, D. Plachá, Z. Lacný, J. Jirkovský, O. Šolcová, Effect of TiO2 particle size on the photocatalytic reduction of CO2, Appl. Catal. B Environ. 89 (2009) 494–502. https://doi.org/10.1016/j.apcatb.2009.01.010.",UV ,298,1,Liquid,No,NaOH,0.02,Sol gel,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,3.2,0.23
"L. Liu, H. Zhao, J.M. Andino, Y. Li, Photocatalytic CO 2 reduction with H 2O on TiO 2 Noocrystals: Comparison of anatase, rutile, and brookite polymorphs and exploration of surface chemistry, ACS Catal. 2 (2012) 1817–1828. https://doi.org/10.1021/cs300273q.",Vis,298,1,Gas,42,No,0,Hydrothermal,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,3.06,0.25
"L. Liu, H. Zhao, J.M. Andino, Y. Li, Photocatalytic CO 2 reduction with H 2O on TiO 2 Noocrystals: Comparison of anatase, rutile, and brookite polymorphs and exploration of surface chemistry, ACS Catal. 2 (2012) 1817–1828. https://doi.org/10.1021/cs300273q.",Vis,298,1,Gas,42,No,0,Hydrothermal,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,3.3,0.14
"Q.H. Zhang, W.D. Han, Y.J. Hong, J.G. Yu, Photocatalytic reduction of CO2 with H2O on Pt-loaded TiO2 catalyst, Catal. Today. 148 (2009) 335–340. https://doi.org/10.1016/j.cattod.2009.07.081.",UV ,323,1,Gas,50,No,0,Commercial,IW,298,0.07,Pt,0,No,0,No,0,No,100,TiO2,No,,0.01
"Q.H. Zhang, W.D. Han, Y.J. Hong, J.G. Yu, Photocatalytic reduction of CO2 with H2O on Pt-loaded TiO2 catalyst, Catal. Today. 148 (2009) 335–340. https://doi.org/10.1016/j.cattod.2009.07.081.",UV ,323,1,Gas,50,No,0,Commercial,IW,298,0.12,Pt,0,No,0,No,0,No,100,TiO2,No,,0.06
"Q.H. Zhang, W.D. Han, Y.J. Hong, J.G. Yu, Photocatalytic reduction of CO2 with H2O on Pt-loaded TiO2 catalyst, Catal. Today. 148 (2009) 335–340. https://doi.org/10.1016/j.cattod.2009.07.081.",UV ,323,1,Gas,50,No,0,Commercial,IW,298,0.21,Pt,0,No,0,No,0,No,100,TiO2,No,,0.02
"Q.H. Zhang, W.D. Han, Y.J. Hong, J.G. Yu, Photocatalytic reduction of CO2 with H2O on Pt-loaded TiO2 catalyst, Catal. Today. 148 (2009) 335–340. https://doi.org/10.1016/j.cattod.2009.07.081.",UV ,328,1,Gas,50,No,0,Commercial,IW,298,0.12,Pt,0,No,0,No,0,No,100,TiO2,No,,2.11
"Q.H. Zhang, W.D. Han, Y.J. Hong, J.G. Yu, Photocatalytic reduction of CO2 with H2O on Pt-loaded TiO2 catalyst, Catal. Today. 148 (2009) 335–340. https://doi.org/10.1016/j.cattod.2009.07.081.",UV ,328,1,Gas,50,No,0,Hydrothermal,IW,298,0.15,Pt,0,No,0,No,0,No,100,TiO2,No,,2.94
"Q.H. Zhang, W.D. Han, Y.J. Hong, J.G. Yu, Photocatalytic reduction of CO2 with H2O on Pt-loaded TiO2 catalyst, Catal. Today. 148 (2009) 335–340. https://doi.org/10.1016/j.cattod.2009.07.081.",UV ,328,1,Gas,44,No,0,Commercial,IW,298,0.12,Pt,0,No,0,No,0,No,100,TiO2,No,,0.1
"Q.H. Zhang, W.D. Han, Y.J. Hong, J.G. Yu, Photocatalytic reduction of CO2 with H2O on Pt-loaded TiO2 catalyst, Catal. Today. 148 (2009) 335–340. https://doi.org/10.1016/j.cattod.2009.07.081.",UV ,328,1,Gas,5,No,0,Hydrothermal,IW,298,0.15,Pt,0,No,0,No,0,No,100,TiO2,No,,0.47
